# Community catalog for Cursors: cursor sets on rw-designer.com, most downloaded first.
# Generated by tools/update-catalog.ps1 on 2026-09-15 from 11552 sets. It lists names and links only;
# the app downloads a set from rw-designer.com when it is clicked. Each set is licensed by its author, as shown on its page.
slug	name	author	downloads	license	cursors	roles	animated	toprated	arrow	link	text	busy
windows-7-black	Windows 7 black	🖱Cursor Mania🖱	506	Custom (contact author)	16	14	2	1	194585	194589	194596	200344
colloid-dark	Colloid Dark	🖱Cursor Mania🖱	505	Custom (contact author)	17	14	2	0	199056	199058	199051	199052
despicable-meme	Despicable Meme	zachbonetti_nz	505	Release to Public Domain	3	2	2	0	113007			
mb-pheonix	Mb Pheonix	Yuri	505	Release to Public Domain	15	15	15	1	156113	156118	156120	156127
pencils	Pencil	stegarex	505	Release to Public Domain	7	1	7	0	12952			
shine-glow	Shine Glow	CobraVids	505	Release to Public Domain	15	15	8	0	96904	96903	96906	96900
face-pack	face pack	fireball532 B	504	Release to Public Domain	13	11	7	1	109020	109021	109019	
school-supplies-and-hand	Archived Stock Icons #1	nibbler	504	Release to Public Domain	15	15	0	0	81385	81400	81390	81388
3d-metallic-black-circles	3D Metallic Black Circles	Disassembler	503	Attribution+NonCommercial (CC by-nc)	22	17	22	1	178195	178215	178219	178204
cartoon-style	The Cartoon Styled	Megaman_Fan	503	Release to Public Domain	16	16	1	1	173415	173412	173422	173417
damaged-arrows	damaged arrows	porygon7	503	Release to Public Domain	4	1	4	0	14148			
hayato-shinomiya-wgmd	Hayato Shinomiya Watashi ga Motete Dousunda	ツ☪ NaLexnu ♡♥	503	Attribution+NonCommercial (CC by-nc)	16	14	8	1	99171	99169	99173	99163
imaginary-void-by-flop	Imaginary Void	FlopTheHop	503	Release to Public Domain	4	2	3	0	143509			
lol	Lol	Windows_20	503	Release to Public Domain	58	15	37	0	248922	248907	248928	248897
smoke-bomb	Smoke Bomb for Ninja	neoseanner	503	Release to Public Domain	7	1	7	0	51092			51092
windows-7-for-classic-scheme	Windows 7 for Classic Scheme	Selale H.	503	Release to Public Domain	17	15	2	0	248571	248577	248572	248573
dagger	Dagger	mamamutt	502	Custom (contact author)	3	1	1	1	92067			
jax	Jax	Beeapkdeddfie	502	Release to Public Domain	16	16	16	0	237903	237900	237905	237894
snow-for-windows	Snow For Windows	Shiminok	502	Release to Public Domain	15	15	10	0	117095	117096	117097	117109
windowscurmodern	Windows 8/10/11 Remastered	a_person_second	502	Release to Public Domain	18	16	2	1	250454	250458	250461	250456
black-bold-pointers	Black Bold Pointers	RIDDLER	501	Release to Public Domain	8	1	0	0	162327			
grand-age-rome	GRAND AGE ROME	THTH	501	Release to Public Domain	9	3	0	0	242233	242232		242234
hand-made	Hand-drawn Mouse Pointers	SCG-1171	501	Release to Public Domain	15	13	0	1	182005		182035	182036
low-poly-white-with-shadow	Low Poly White With Shadow	Newty	501	Attribution+NonCommercial (CC by-nc)	17	17	2	1	250606	250612	250621	250745
nexus-neon-red-mini-1	Nexus-Neon-Red-Mini	lsvtec1641	501	Release to Public Domain	24	15	10	1	185625	185607	185611	185618
shadows	Shadow	CutePusheenLove	501	Release to Public Domain	8	1	0	1	132582			
square-pointer	Square Pointer	SCG-1171	501	Release to Public Domain	17	17	0	1	183049	183065	183055	183052
zapito-by-maria	Zapito♥ By Maria ...♥	Mari	501	Release to Public Domain	15	15	3	1	91298	91296	91300	91290
blended-mouse-pointers	Blended-Mouse Pointers	TenZue	500	Release to Public Domain	6	0	0	0	186681			
breeze-hacked-purple-white	Breeze Hacked Purple-White	🖱Cursor Mania🖱	500	Custom (contact author)	27	16	2	1	241874	241864	241877	241860
dami-n-lemon-yellow-edition	Damián Lemon Yellow Edition	🖱Cursor Mania🖱	500	Custom (contact author)	15	12	2	1	206903	206907		206904
glass-small-alpha	glass	tomerik15	500	Release to Public Domain	15	15	0	1	54073	54087	54078	54076
random-glass	Random Glass	deadly bro	500	For Evaluation Purposes Only	3	2	0	1	53383	53382		
shadow	New Aereo	BluEsliMe32	500	Release to Public Domain	6	6	6	1	99628	99631		99630
dino-nugget	Dino Nugget	shiloh	499	Custom (contact author)	18	12	0	1	243171	247922	247929	247927
interminable-rooms	Interminable Rooms	Seagull of Wildlife Bird	499	Release to Public Domain	15	14	13	1	202157	202155	202158	202151
mix-up-cur-sor-from-4u	Mix Up Cur sor From 4u	nplays	499	Release to Public Domain	8	3	7	1	148120	148123	148122	
chess-arrows	chess arrows	Vickvvy	498	Release to Public Domain	8	1	1	1	82907			
classicblueb	Classic Blue	baby	498	Attribution+NonCommercial (CC by-nc)	15	15	0	1	177076	177074	177078	177068
etherlords-ll-hd	ETHERLORDS ll HD	THTH	498	Release to Public Domain	27	4	18	1	238810	238824	238823	238826
h-m-cursors	handmade	Anonymous	498	Release to Public Domain	3	3	3	0	21563			21565
amys-pokeballs	Amy's Pokeballs	80Mb	497	Attribution+NonCommercial (CC by-nc)	9	0	0	1	118486			
animados-verdes	Animados verdes	Matias0211	497	Release to Public Domain	13	13	11	1	36114	36115		36119
dilma-lula-ladr-o-thief	Dilma & Lula ladrão / thief	Vickvvy	497	Release to Public Domain	6	0	0	0	90931			
dragonvale-limited-babies	Dragonvale Babies - Limited	DragonvaleCursors	497	Release to Public Domain	35	1	0	1	60546			
pixel-style	Pixel Style	jOoN	497	Attribution Required (CC by)	15	15	0	1	180163	180177	180168	180166
aero-pantone-2007-chili-pepper	aero-pantone-2007-Chili-Pepper	4qts	496	Release to Public Domain	18	16	2	1	133839	133843	133852	133840
cool-pointers	series 1 cool	The Male Boss	496	Custom (contact author)	5	1	0	0	70051			
cream-the-rabbit-sb	Cream the Rabbit (Sonic Battle)	xXxPastelGothAbsolxXx	496	NonCommercial Usage Only (CC nc)	14	14	11	0	206661	206675	206666	206662
danziva	Danziva	Ceemo	496	Release to Public Domain	6	5	6	0	25267	25266	25268	25263
hands-pack	HANDS PACK	juanello	496	Release to Public Domain	15	0	7	0	63551			
material-amber	Material Longshadow Amber	J	496	Release to Public Domain	15	15	5	1	150090	150447	150118	150094
nyte-lyte	Night Light (WIP)	ClairvoyantOS	496	Free Art (copyleft)	5	5	2	0	150947			150951
postman-identityv	Postman IDV	wick	496	Release to Public Domain	4	4	4	1	206515	206518		
blink-stone	Stone	-V-	495	Attribution Required (CC by)	2	1	2	0	12088			
hypnotic	Hypnotic	Mr X	495	Release to Public Domain	15	15	15	1	71205	71157	71161	71156
mei-and-snowball	Mei and Snowball	Lights	495	Release to Public Domain	18	15	17	1	101874	101873	101881	101872
ml-blau-1	ml_blau	Lihpe25	495	Release to Public Domain	15	13	3	0	154028	154042	154033	154031
allods-online	ALLODS ONLINE	THTH	494	Release to Public Domain	22	3	0	1	238437	238436	238438	
battery-powered	Coil	Mr X	494	Release to Public Domain	15	15	15	0	74949	74950	74976	74966
coal	Coal	Justiinಠ_ಠ	494	Release to Public Domain	17	17	17	0	172879	172876	172787	172886
goku-dragon-ball	Goku (Dragon Ball)	Henryyyooouuu	494	Release to Public Domain	4	4	0	0	214356	214359	214357	
one-dark-pro-space-invaders	One Dark Pro Space Invaders	nibbler	494	Attribution+NonCommercial (CC by-nc)	20	16	20	1	185502	185520	185510	185508
buscamina-minesweeper	Minesweeper	Matias0211	493	Release to Public Domain	14	13	14	1	36573	36575	36570	
colored-hearts	Colored Hearts	jessicatgirl12	493	Release to Public Domain	15	0	0	0	132593			
cotton-candy	Cotton Candy	Insane Games	493	Release to Public Domain	16	15	0	0	145800	145893	145884	145882
dark-pink-transparency	Dark Pink Transparency	🖱Cursor Mania🖱	493	Custom (contact author)	15	15	2	1	203657	203655	203659	203649
flashing-neon-red-and-black	Flashing Neon Red and Black	307Jonny	493	Release to Public Domain	15	15	15	1	190496	190494	190498	190488
glass-curve	Glass Curve	🖱Cursor Mania🖱	493	Custom (contact author)	15	13	2	1	194744	194749	194755	194745
glib-classic	Glib Classic	🖱Cursor Mania🖱	493	Custom (contact author)	17	13	2	0	220328	220326	220319	220320
odd-link	Odd link	[Generic_name]	493	Release to Public Domain	8	1	1	0	161923	161923		
samsung-light-green-edition	Samsung - Light green Edition	ForTrisCraft	493	NonCommercial Usage Only (CC nc)	17	17	2	1	226672	226668	226671	226666
sleek	Sleek	coookies369	493	Release to Public Domain	15	15	2	0	148047	148049		148048
total-war-custom	Total War Custom	THTH	493	Release to Public Domain	12	0	0	1	234635			
all-wonder-weapons-in-zombies	All wonder weapons in zombies	Omartiano	492	Release to Public Domain	26	1	5	1	151168			
amys-social-media	Amy's Social Media	80Mb	492	Attribution+NonCommercial (CC by-nc)	9	1	0	1	118503	118503		
breeze-haked-yellow	Breeze Hacked Yellow	🖱Cursor Mania🖱	492	Custom (contact author)	21	16	2	1	204687	204683	204690	204676
hogwarts	Hogwarts	Miss Mycroft	492	Release to Public Domain	5	0	0	1	62494			
toro-my-baby	Assorted Toro	ITotallyEatCrayons	492	Release to Public Domain	4	0	0	1	252193			
macos-classic	macOS Classic	KANO GAMING	491	Release to Public Domain	12	9	3	1	234969	234973	234971	234972
oh-yea-mr-krabs-aaaaaaaaa	Spining 3 3D	CursorCabra!	491	Release to Public Domain	15	15	15	0	103606	103620	103611	103609
bluejayfeather	Blue Jay Feather	HealingRainbow	490	Release to Public Domain	6	6	3	0	15879	15881		15880
dragonvale-gemstone-babies	Dragonvale Babies - Gemstone	DragonvaleCursors	490	Release to Public Domain	15	0	0	0	60421			
friendlyflix	Friends 3d Remix	ʄʟɨӼ	490	Release to Public Domain	17	17	2	1	150010	150024	150015	150013
macos-remake	MacOs Remake	someone123	490	Custom (contact author)	17	12	6	0	211572	211577	211576	211574
pacote-de-cursores-contornados	PACOTE DE CURSORES CONTORNADOS!	xXLucas cursorsXx	490	Release to Public Domain	12	1	0	1	165948			
centrifuge-2-0-legacy	Centrifuge 2.0 Legacy	the117doctor	489	Release to Public Domain	12	9	12	0	172929			
green-handmade	green handmade	rasfsfsfs09897	489	Release to Public Domain	14	14	2	0	164772	164827	164777	164775
kpop-lightsticks-4	Kpop lightsticks #4	beebuni	489	Release to Public Domain	3	0	0	1	105989			
save-the-earth	Earth Day	Diamond	489	Release to Public Domain	17	17	16	1	156636	156654	156603	156555
4-bit-circle	4-Bit Circle	MustyYew011937	488	Attribution+NonCommercial (CC by-nc)	17	15	6	1	105749	105763	105754	105752
aero-pantone-2006-sand-dollar	aero-pantone-2006-sand-dollar	4qts	488	Release to Public Domain	18	16	2	1	133857	133861	133870	133858
aero-pantone-2012-tangerine-	aero-pantone-2012-tangerine-tango	4qts	488	Release to Public Domain	17	16	2	1	133586	133590	133599	133587
blue-arrows	Blue-Arrows	CursorUser	488	Release to Public Domain	3	3	2	0	75961			75962
bone-weapons	Bone Weapons	jaakko	488	Release to Public Domain	3	1	3	0	24814			
mines	Mines	Matias0211	488	Release to Public Domain	14	14	14	0	36802	36825	36796	36792
nombres-name-s	Nombres (Name's)	ツ☪ NaLexnu ♡♥	488	NonCommercial Usage Only (CC nc)	55	1	28	1	51701			
red-light	Red Light	RWCursor	488	Release to Public Domain	15	15	7	0	81625	81639	81630	81628
rubbish	rubbish	ARGs	488	Release to Public Domain	3	3	0	0	146834			
windows-xp-3d-purple	Windows XP 3D Purple Edit	🖱Cursor Mania🖱	488	Custom (contact author)	16	9	2	1	219341	219340	219337	
yusuke-igarashi-wgmd	Yusuke Igarashi Watashi ga Motete Dousunda	ツ☪ NaLexnu ♡♥	488	Attribution+NonCommercial (CC by-nc)	16	15	8	1	99236	99234	99238	99228
40k-dawn-of-war	40K DAWN OF WAR	THTH	487	Release to Public Domain	12	10	3	1	209095	209102		209097
cookie-clicker-icons	Cookie Clicker (Icons)	nibbler	487	NonCommercial Usage Only (CC nc)	23	2	0	1	88975	88964		
energy-lightning-bolt	Energy Lightning Bolt	SCG-1171	487	Release to Public Domain	15	15	0	1	183360	183403	183365	183363
nokia	Nokia	CoolNam	487	Release to Public Domain	15	13	2	0	223307	223309	223331	223313
victoria-3	VICTORIA 3	THTH	487	Release to Public Domain	26	5	2	1	251883			251905
vinnie	Vinnie	Shiminok	487	Release to Public Domain	14	14	14	0	117919		117921	117912
aero-tailles-shadow-big-sized	Aero Tailles Shadow Big Sized	🖱Cursor Mania🖱	486	Custom (contact author)	15	13	2	0	203984	203990	203996	203985
fir	رعد	bouderbabari	486	Release to Public Domain	6	0	6	0	19923			
onigiri-game-by-mimi-destino	Onigiri Game	ツ☪ NaLexnu ♡♥	486	Attribution+NonCommercial (CC by-nc)	17	15	4	1	90647	90645	90652	90639
sethhager-yaoo-com	My first set!	sethhager@yahoo.com	486	Release to Public Domain	3	1	1	0	16780			
stickman-5	Stickman	GamePlay342	486	Release to Public Domain	15	15	5	0	192225	192243	192230	192228
aqua-bomber	Aqua Bomber (Bomberman Collection)	ViniciusGamer-blox	485	Release to Public Domain	18	17	18	1	216193	216208	216198	216196
dungeons-dragons-dragonshard	DUNGEONS & DRAGONS: DRAGONSHARD	THTH	485	Release to Public Domain	42	3	7	0	255822	255834		
google-chrome-shapeshifting	Google Chrome ShapeShifting	TCRcreations	485	Release to Public Domain	3	3	0	0	34581	34584		
magic-wizard	Magic Wizard	cloelius	485	Attribution Required (CC by)	5	5	5	1	136003	136004	136006	136005
portal-vortex	Portal Vortex	Bubbles_The_Gr8	485	Release to Public Domain	15	15	15	1	53270	53272	53268	53278
tt	turquoise tailess	Anonymous	485	Release to Public Domain	3	3	2	0	21387			21389
windows-11-silver	Windows 11 Silver	🖱Cursor Mania🖱	485	Custom (contact author)	21	13	3	1	204856	204858	204850	204851
lords-of-the-ring-war-of-1	LORDS OF THE RING: WAR OF THE RING (Good)	THTH	484	Release to Public Domain	48	2	3	0	252739	252713		
marioworldcursors	Super Mario World	CARNAGE_1066	484	Release to Public Domain	12	12	5	0	37920		38801	38802
runescape-abyssal-whip	abyssal whip cursors	sulu51	484	Release to Public Domain	6	6	0	0	16842	16969		16844
smiles-smiles-smiles	Smiles, Smiles, SMILES!!!	Guest_191	484	Release to Public Domain	13	13	2	1	201964	201965	201966	201968
the-shining-ruby	The shining Ruby	VIVEK OPest	484	Release to Public Domain	17	17	17	1	206573	206805	206578	206773
tommy-karevik	Tommy Karevik	TheBabblingBard	484	Release to Public Domain	6	1	0	0	51827			
undertale-button-styled	Mintpepper's etc	MintPepper	484	Release to Public Domain	11	6	3	1	91505	96106	100479	100478
game-yellow-translucent	Games Yellow Translucent	hlark324	483	Attribution Required (CC by)	15	15	4	0	9990	10003	9993	9989
grox-mouse-pointers	Grox Mouse Pointers	GROXMANIAC	483	Release to Public Domain	11	3	0	0	113619			
klonoa	Klonoa	xXxPastelGothAbsolxXx	483	NonCommercial Usage Only (CC nc)	15	14	14	1	202029	202037	202040	202031
peakarus	Peakarus (Update-1)	rix	483	NonCommercial Usage Only (CC nc)	17	16	5	0	197468	197475	197472	197469
yellowaxolotlmd	Yellow Axolotl	ツ☪ NaLexnu ♡♥	483	Attribution+NonCommercial (CC by-nc)	20	17	7	1	185241	185238	185244	185231
ear	Ear	The Professional with Standards	482	Release to Public Domain	15	15	2	0	93302	93313	93304	93305
inazuma	inazuma	Hanna	482	Custom (contact author)	3	0	2	1	47522			
tadc-1	TADC Characters!	ITotallyEatCrayons	482	Release to Public Domain	7	0	0	1	251338			
triangles	Triangles	Bo28111	482	Release to Public Domain	18	17	12	1	153182	153183	153195	153184
turkey-pavo	Turkey Pavo	ツ☪ NaLexnu ♡♥	482	Attribution+NonCommercial (CC by-nc)	17	17	8	1	170418	170415	170421	170409
violet-oxygen	(violet) Oxygen	abdillahindo	482	Release to Public Domain	15	15	2	0	139393	139407	139398	139396
aqua-deltarune-pack	Aqua Deltarune Pack	Coms_Lucy	481	Release to Public Domain	17	17	13	1	257116	257131	257126	257118
dave-house-1	Dave's House	snowie :3	481	Release to Public Domain	15	15	3	0	190842	190857	190852	190847
gami-by-raylark	Gami	ClairvoyantOS	481	Release to Public Domain	3	3	1	0	187153	187171		187160
mr-hg3-2	Dad n. Me	Jorge	481	Release to Public Domain	15	15	12	1	170834	136139	136131	136129
stick-rainbow-man	Stick Rainbow Man	bubbles47	481	Release to Public Domain	11	11	11	0	50366			50425
amethyst-ex1	Amethyst Ex	Envi.xp	480	Attribution Required (CC by)	11	11	11	0	256693	256697	242499	242490
dark-theme	Dark Theme	[Generic_name]	480	Release to Public Domain	17	16	2	1	161978	161984	161994	161980
super-back	super back	megacursor	480	Release to Public Domain	27	12	22	0	69025	69082	69078	
hello-sporysy	OURPURPLE GUY	el EÑE ☻☺☻	479	Attribution Required (CC by)	14	14	14	0	184034	184037	184030	184042
ian-s-mint	Ian's Mint	iancloneyyy	479	Release to Public Domain	16	16	1	0	170489	170486	170492	170480
ignore	Ignore	R0mKa	479	Release to Public Domain	3	3	1	1	146784			142694
kami-v2-amethyst-purple	Kami V2 - Amethyst Purple	🖱Cursor Mania🖱	479	Custom (contact author)	17	15	16	0	208119	208113	208122	208110
minecraft-bows	Minecraft Bows	LightningBoy2527	479	Release to Public Domain	3	0	0	0	120448			
particularscursors	Particulars	CreatedorMade	479	Release to Public Domain	14	13	14	0	72096	72094	72100	
pastel-1	Pastel	Cursor_Person_1995	479	NonCommercial Usage Only (CC nc)	7	7	1	0	186986			186992
pumpkin-pointer	Pumpkin Style Pointer	Animelove_1105	479	Attribution+NonCommercial (CC by-nc)	17	17	2	1	196030	197465	197413	197367
silver-6	Silver	Justiinಠ_ಠ	479	Release to Public Domain	16	16	2	1	170819	170816	170824	170812
s-p-o-n-g-e-b-o-b	s-p-o-n-g-e-b-o-b	guno23	479	Release to Public Domain	5	5	4	0	20431			
blue-glossy-arrows	Blue Glossy Arrows	RIDDLER	478	Release to Public Domain	3	1	0	0	162324			
dragonvale-coldsecondary-babies	Dragonvale Babies - Cold	DragonvaleCursors	478	Release to Public Domain	9	0	0	1	60370			
league-of-legends-theme-mouse-	League of Legends Theme Mouse standard	Instabuy	478	Release to Public Domain	4	4	3	0	79912	79914		79913
negg	Negg	erik1999	478	Release to Public Domain	39	0	0	0	67921			
orchid-oxygen	(orchid) Oxygen	abdillahindo	478	Release to Public Domain	15	15	2	0	139362	139377	139368	139366
pink-square-by-mei	Pink Square	ツ☪ NaLexnu ♡♥	478	NonCommercial Usage Only (CC nc)	17	17	5	1	53411	53409	53413	53403
batty	Bat	kattynom	477	Release to Public Domain	17	17	17	0	246778	246784	246791	246780
dark-blue-theme	Dark Blue Theme	Parker	477	Release to Public Domain	15	15	2	1	111055	111156	111059	111158
welcome-to-the-game-2-curs-ors	Welcome to the Game 2 Curs­ors	ඞ amogus	477	Release to Public Domain	4	3	0	0	158479	158480		
apple-hand-static	apple hand static	joaop96	476	Release to Public Domain	3	1	0	0	178147	178147		
quieres-dog-meme	Quieres?	Jstinki	476	Release to Public Domain	4	3	1	1	152462	152464		
besieger	BESIEGER	THTH	475	Release to Public Domain	34	3	0	0	247154	247144		
blue-resize	Blue Resizers	Jamman	475	Release to Public Domain	4	4	4	0	25531			
conjunto-do-mario-mario-set	Conjunto do Mario (Mario set)	Vickvvy	475	Release to Public Domain	10	0	0	0	82458			
droplet-mini-orange	Droplet Mini Orange	ツ☪ NaLexnu ♡♥	475	Attribution+NonCommercial (CC by-nc)	17	17	2	1	170322	170319	170325	170312
femtanyl-mini-pack	FEMTANYL MINI PACK	RaW	475	Release to Public Domain	10	10	4	1	249897	249902	249900	249901
freddy-thug-life	Freddy Thug Life	PikaKnight	475	Release to Public Domain	5	4	2	0	76241		76245	76243
fun-pieces	Johanne	Jo	475	Release to Public Domain	6	1	0	0	112708			
modern-cur-v2-light	Modern Cur. v2 - Light	VA5H	475	Attribution+NonCommercial (CC by-nc)	15	15	0	1	188922	188911	188925	
normal-select-collection	Normal select collection	Nightcore7	475	Release to Public Domain	9	1	0	0	27148			
coffee-2	Coffee	Cappuccino093	474	Release to Public Domain	17	16	2	1	180514	180525	180516	180524
gant	(blue) normal GANT 24 x 24	abdillahindo	474	Release to Public Domain	15	15	9	0	139426	139440	139431	139429
neon-led-lights	Neon and LED	DreamDoll12	474	Release to Public Domain	12	1	0	0	208166			
no-genocide-run	Aftertale	CursorCabra!	474	Release to Public Domain	15	13	15	0	96272	96270	96274	96264
no-rest-for-the-wicked	No Rest for the Wicked	THTH	474	Release to Public Domain	16	0	0	0	237324			
sonic-colors-wisps-all-colors	sonic colors wisps (all colors)	HB	474	Release to Public Domain	20	4	15	1	160926	160929		160928
stonekeep	Stonekeep	THTH	474	Release to Public Domain	16	1	1	0	237061	237061		
tailessmouse	Tailess Pointers	Sviton	474	Release to Public Domain	4	1	0	0	108459			
beefydie	BFDI(A) Remake	TheUser10	473	Attribution+NonCommercial (CC by-nc)	15	14	0	0	208972	208978	208973	208974
orange-3	Orange	RIDDLER	473	Free Art (copyleft)	15	15	2	0	110602	110616	110607	110605
prank-set-by-mcgreeny	Annoying prank	mcgreeny	473	Custom (contact author)	6	6	2	1	52735	52740	52736	52739
windows-1-01-color	Classic Windows 1.01 Color	FlynMaker7	473	Release to Public Domain	19	2	0	0	193811			193813
air-plane	Airplane	ViniciusGamer-blox	472	Release to Public Domain	17	17	17	0	196146	196160	196151	196149
junkyard-collection	Junkyard Collection	WindowsUser	472	Release to Public Domain	6	4	0	1	180566		180427	
kinjo-tsurugi	Kinjo Tsurugi	Moka	472	Attribution Required (CC by)	15	15	11	1	226974	226983	226987	226984
brawl-stars-tara	Brawl Stars Tara	Nikdo	471	Release to Public Domain	16	15	8	1	146157	146160	146284	146159
pokeripped	Ripped PokeROM	eeveelover64	471	Attribution Required (CC by)	8	1	0	0	159828		159828	
sayon-cursor-set-5-faces	faces drawn by hand :) :-)	Say on	471	Release to Public Domain	9	0	0	0	41742			
super-mario-flash-sl-tiny	SMAS SMB Small Luigi	nibbler	471	Release to Public Domain	15	15	0	1	80479	80493	80484	80482
tadc	The Amazing Digital	person >:3	471	Release to Public Domain	19	13	0	1	247299	247295	247296	247298
water-drop-not-done	Water Drop (NOT DONE)	RazerTheGamer	471	Release to Public Domain	8	5	7	0	229040			229047
color-2	color	sl contostavalos	470	Release to Public Domain	3	1	2	1	69618			
cute-pointy	Cute pointy	ARGs	470	Release to Public Domain	17	17	2	1	179432	179446	179437	193661
red-14	Red	sGhostyBatata	470	Release to Public Domain	11	11	5	0	150226	150231		
switch2-mousecursors	Nintendo Switch 2	BroBlox	470	Attribution Required (CC by)	19	17	5	1	223145	223158	223161	223148
aero-pantone-2013-emerald	aero-pantone-2013-emerald	4qts	469	Release to Public Domain	17	16	2	1	133685	133690	133699	133686
omori	Red Hand	Quin :]	468	Release to Public Domain	10	10	0	0	174972	174969	174974	
orange-highlight	Orange Highlight	rayndoom	468	Release to Public Domain	15	15	2	1	189292	189291	189296	189287
radioactive-1	Radioactive	Shiminok	468	Release to Public Domain	15	15	9	0	117695	117709	117701	117696
realm-of-the-mad-god-dystopian-	Chusto's Animated Cursors for Realm of the Mad God	Chusto	468	Attribution Required (CC by)	11	1	11	0	110784	110784		
tiny-small	smallest windows 10	el_tao-le_tao-tao	468	Release to Public Domain	19	15	2	0	140486	140502	140493	140490
window-colers	window colers	redtv4me	468	Release to Public Domain	3	3	2	0	17122			17120
fluent-light-blue	Fluent Light Blue	Julian2012	467	Release to Public Domain	17	17	2	0	243002	242998	242991	242992
multicolor-smooth	Multicolor Smooth	Vlazteron	467	Release to Public Domain	10	1	0	1	130229			
retro-90s-pointers	Retro PC	BG5DF	467	Release to Public Domain	15	15	0	1	203010	203024	203015	203013
smbfan2010special	SMB_Fan2010's Special	SMB_Fan2010	467	Release to Public Domain	10	10	2	1	175763	175766	175769	175765
wii-party-u	Wii Party U	Ghosh_hunter	467	Release to Public Domain	15	12	2	0	248273	248274		248271
dontclickthis	DONT BOTHER LOOKING THESE ARE OLD AND RUBISH	CramLock	466	Release to Public Domain	6	2	5	0	5784			
illusion-c-pack	Illusion	꧁ Ryjerun ꧂	466	Release to Public Domain	7	1	7	1	160262			
ipod-touch	ipod touch	The Male Boss	466	Custom (contact author)	6	0	0	1	82080			
series-3-cool	series 3 cool	The Male Boss	466	Custom (contact author)	5	1	0	0	70101			
xxl-white	XXL White	RIDDLER	466	Release to Public Domain	15	15	11	0	105962	105976	105967	105965
communist-pride	Communist Pride	ApacheAttackHelicopter	465	Release to Public Domain	6	0	0	0	102869			
demon-slayer	Demon Slayer Set!	꧁༺ 𝓗𝓸𝓵𝓪𝓢𝓸𝔂𝓓𝓸𝓻𝓪 ༻꧂	465	Release to Public Domain	12	12	1	0	245637	245647	245644	245638
angular-green	Angular Green	Censor_Not	464	Release to Public Domain	15	15	0	0	98978	98976	98984	98973
cute-bread-pointers	Cute Bread Pointers	~ ☁ Aesthetic girl ☁ ~	464	Release to Public Domain	14	11	5	1	176208	176212		176218
master-of-orion-3	MASTER OF ORION 3	THTH	464	Release to Public Domain	18	4	4	1	256519			256526
3d-arrow-spin	3d Arrow Spin	Mr X	463	Release to Public Domain	15	15	15	1	73567	73569	73565	73575
golden-eagle	Golden Eagle	Mosher	463	Release to Public Domain	13	13	5	0	37735	37697	37652	37651
moving-cursors	Moving Cursors	AtomicTaco	463	Release to Public Domain	3	1	3	0	14521			
ryan-s-glove	Ryan\'s Glove	itryan10229	463	Release to Public Domain	11	10	2	0	145125		145130	145128
squidpack	SquidPack	oMitchellMo	463	Release to Public Domain	7	7	7	0	210422	210423	210428	210425
brown-among-us	Brown (Among Us)	ACarrionPR	462	Custom (contact author)	17	17	17	1	142841	142855	142846	142844
inscryption	INSCRYPTION	THTH	462	Release to Public Domain	5	5	1	1	204401	204405	204404	204403
light-sabers	Light Sabers	Cody	462	Release to Public Domain	7	0	0	0	28600			
p-n-f	PnF	eveon99	462	Custom (contact author)	3	1	0	0	45417			
wtf	WTF	Axolotlsarecute	462	Release to Public Domain	14	14	14	1	175027	175018	175029	
banana-cursors	Banana cursors	xXLucas cursorsXx	461	Release to Public Domain	8	1	6	0	165210			
file-cheesecake	Runescape Weapons Package	Nintendo	461	Release to Public Domain	5	2	1	0	35481			
mutie	Mutie	fairygodtroll	461	Custom (contact author)	3	2	3	1	42230	42229		
pride-lbgt	Pride LBGT	DuckMinCursors	461	Release to Public Domain	13	2	0	0	147928			
s4-league-twin-blades	S4 League Twin Blades	Lucky96u	461	Release to Public Domain	5	5	2	0	97357	97358		97361
shaded-mouse	Shaded mouse	Febeennnn	461	Release to Public Domain	9	1	0	1	186540			
transparency-ember-moon	Transparency	snickerdoodle	461	Attribution+NonCommercial (CC by-nc)	27	0	0	1	132514			
dreamsmplmanburgheads	L'manburg & Pogtopia (Some) Cursors, Dream SMP	Yeah-	460	Release to Public Domain	10	0	0	0	173229			
guy-cusor-final	(fin) Guy	Click1005	460	Release to Public Domain	13	11	5	1	243075	243074	243083	243073
jell-o-air	Aerogel	indapni	460	Custom (contact author)	17	17	2	1	207704	207699	207689	207701
minecraft-carrots-tools	Minecraft Carrots & Tools	Szling	460	Release to Public Domain	26	1	26	0	100796			
sunflowers	Sunflowers	Shiminok	460	Release to Public Domain	15	15	3	1	117391	117392	117393	117394
aero-x64-tiffanyblue	aero-x64-tiffanyblue	4qts	459	Release to Public Domain	15	15	2	1	133034	133039	133045	133035
aero-yellow-10	Aero Yellow 10	RIDDLER	459	Custom (contact author)	17	17	2	1	214126	214140	214131	214129
biggest-mouse-of-life	BIGGEST MOUSE OF LIFE	Febeennnn	459	Release to Public Domain	10	1	0	0	177109			
billy-interminable-rooms	Billy (Interminable Rooms)	Seagull of Wildlife Bird	459	Release to Public Domain	15	12	10	0	202954	202951	202956	202953
carrotsstuff	Nice Carrots	CarrotsMoose	459	Custom (contact author)	13	13	7	1	175969	175959		175966
diamond-pack	Diamond Pack	OGGO	459	Release to Public Domain	3	1	0	0	137590			
